"No.","Time","Source","Destination","Protocol","Length","Info"
"170","0.652024046","172.66.44.77","10.0.2.15","QUIC","1242","Handshake, DCID=29abab, SCID=019f6f67e9b6b0f2fe9cf4672cb684a5fa5adc9f"
"171","0.652381856","172.66.44.77","10.0.2.15","QUIC","1242","Handshake, DCID=29abab, SCID=019f6f67e9b6b0f2fe9cf4672cb684a5fa5adc9f"
"172","0.652382116","172.66.44.77","10.0.2.15","QUIC","871","Handshake, DCID=29abab, SCID=019f6f67e9b6b0f2fe9cf4672cb684a5fa5adc9f"
"173","0.653126313","10.0.2.15","172.66.44.77","QUIC","96","Handshake, DCID=019f6f67e9b6b0f2fe9cf4672cb684a5fa5adc9f, SCID=29abab"
"174","0.656933342","10.0.2.15","172.66.44.77","QUIC","191","Protected Payload (KP0), DCID=019f6f67e9b6b0f2fe9cf4672cb684a5fa5adc9f"
"175","0.657018393","10.0.2.15","172.66.44.77","QUIC","119","Protected Payload (KP0), DCID=019f6f67e9b6b0f2fe9cf4672cb684a5fa5adc9f"
"176","0.657264952","10.0.2.15","172.66.44.77","QUIC","283","Protected Payload (KP0), DCID=019f6f67e9b6b0f2fe9cf4672cb684a5fa5adc9f"
"177","0.667272925","10.0.2.15","194.242.2.2","TCP","54","39448  >  443 [ACK] Seq=2654 Ack=7497 Win=62780 Len=0"
"178","0.679231259","172.66.44.77","10.0.2.15","QUIC","530","Protected Payload (KP0), DCID=29abab"
"179","0.679231599","172.66.44.77","10.0.2.15","QUIC","69","Protected Payload (KP0), DCID=29abab"
"180","0.679231679","172.66.44.77","10.0.2.15","QUIC","69","Protected Payload (KP0), DCID=29abab"
"181","0.679231759","172.66.44.77","10.0.2.15","QUIC","94","Protected Payload (KP0), DCID=29abab"
"182","0.679678887","10.0.2.15","172.66.44.77","QUIC","87","Protected Payload (KP0), DCID=019f6f67e9b6b0f2fe9cf4672cb684a5fa5adc9f"
"183","0.679953228","172.66.44.77","10.0.2.15","QUIC","69","Protected Payload (KP0), DCID=29abab"
"184","0.701693263","172.66.44.77","10.0.2.15","QUIC","814","Protected Payload (KP0), DCID=29abab"
"185","0.703606673","172.66.44.77","10.0.2.15","QUIC","1242","Protected Payload (KP0), DCID=29abab"
"186","0.703607003","172.66.44.77","10.0.2.15","QUIC","172","Protected Payload (KP0), DCID=29abab"
"187","0.703607083","172.66.44.77","10.0.2.15","QUIC","68","Protected Payload (KP0), DCID=29abab"
"188","0.703888753","10.0.2.15","172.66.44.77","QUIC","85","Protected Payload (KP0), DCID=019f6f67e9b6b0f2fe9cf4672cb684a5fa5adc9f"
"189","1.053701290","10.0.2.15","194.242.2.2","TLSv1.3","110","Application Data"
"190","1.053839190","10.0.2.15","194.242.2.2","TLSv1.3","213","Application Data"
"191","1.054057951","194.242.2.2","10.0.2.15","TCP","60","443  >  39448 [ACK] Seq=7497 Ack=2710 Win=65535 Len=0"
"192","1.054074551","10.0.2.15","194.242.2.2","TLSv1.3","269","Application Data, Application Data"
"193","1.054058231","194.242.2.2","10.0.2.15","TCP","60","443  >  39448 [ACK] Seq=7497 Ack=2869 Win=65535 Len=0"
"194","1.054120931","10.0.2.15","194.242.2.2","TLSv1.3","110","Application Data"
"195","1.054701949","194.242.2.2","10.0.2.15","TCP","60","443  >  39448 [ACK] Seq=7497 Ack=3084 Win=65535 Len=0"
"196","1.054712519","10.0.2.15","194.242.2.2","TLSv1.3","428","Application Data, Application Data, Application Data"
"197","1.054702139","194.242.2.2","10.0.2.15","TCP","60","443  >  39448 [ACK] Seq=7497 Ack=3140 Win=65535 Len=0"
"198","1.054983429","194.242.2.2","10.0.2.15","TCP","60","443  >  39448 [ACK] Seq=7497 Ack=3514 Win=65535 Len=0"
"199","1.078320886","194.242.2.2","10.0.2.15","TLSv1.3","1096","Application Data, Application Data"
"200","1.078380675","10.0.2.15","194.242.2.2","TCP","54","39448  >  443 [ACK] Seq=3514 Ack=8539 Win=62780 Len=0"
"201","1.079303783","194.242.2.2","10.0.2.15","TLSv1.3","1097","Application Data, Application Data"
"202","1.079316643","10.0.2.15","194.242.2.2","TCP","54","39448  >  443 [ACK] Seq=3514 Ack=9582 Win=62780 Len=0"
"203","1.774710753","10.0.2.15","194.242.2.2","TLSv1.3","110","Application Data"
"204","1.774909942","194.242.2.2","10.0.2.15","TCP","60","443  >  39448 [ACK] Seq=9582 Ack=3570 Win=65535 Len=0"
"205","1.779178539","10.0.2.15","194.242.2.2","TLSv1.3","213","Application Data"
"206","1.780099679","194.242.2.2","10.0.2.15","TCP","60","443  >  39448 [ACK] Seq=9582 Ack=3729 Win=65535 Len=0"
"207","1.780285129","10.0.2.15","194.242.2.2","TLSv1.3","110","Application Data"
"208","1.780506309","10.0.2.15","194.242.2.2","TLSv1.3","213","Application Data"
"209","1.782105509","194.242.2.2","10.0.2.15","TCP","60","443  >  39448 [ACK] Seq=9582 Ack=3785 Win=65535 Len=0"
"210","1.782105709","194.242.2.2","10.0.2.15","TCP","60","443  >  39448 [ACK] Seq=9582 Ack=3944 Win=65535 Len=0"
"211","1.803580415","194.242.2.2","10.0.2.15","TLSv1.3","580","Application Data"
"212","1.803643915","10.0.2.15","194.242.2.2","TCP","54","39448  >  443 [ACK] Seq=3944 Ack=10108 Win=62780 Len=0"
"213","1.805390112","10.0.2.15","194.242.2.2","TLSv1.3","110","Application Data"
"214","1.805505252","10.0.2.15","194.242.2.2","TLSv1.3","213","Application Data"
"215","1.805654372","10.0.2.15","194.242.2.2","TLSv1.3","110","Application Data"
"216","1.805662744","194.242.2.2","10.0.2.15","TLSv1.3","580","Application Data"
"217","1.805662944","194.242.2.2","10.0.2.15","TCP","60","443  >  39448 [ACK] Seq=10634 Ack=4000 Win=65535 Len=0"
"218","1.805663054","194.242.2.2","10.0.2.15","TCP","60","443  >  39448 [ACK] Seq=10634 Ack=4159 Win=65535 Len=0"
"219","1.805867502","10.0.2.15","194.242.2.2","TLSv1.3","213","Application Data"
"220","1.805962344","194.242.2.2","10.0.2.15","TCP","60","443  >  39448 [ACK] Seq=10634 Ack=4215 Win=65535 Len=0"
"221","1.806223263","194.242.2.2","10.0.2.15","TCP","60","443  >  39448 [ACK] Seq=10634 Ack=4374 Win=65535 Len=0"
"222","1.808398982","10.0.2.15","104.26.14.96","QUIC","1399","Initial, DCID=bc1f7e362891cc2c01967dac1b, SCID=59d2a4, PKN: 0, CRYPTO"
"223","1.829892629","194.242.2.2","10.0.2.15","TLSv1.3","579","Application Data"
"224","1.829892999","194.242.2.2","10.0.2.15","TLSv1.3","571","Application Data"
"225","1.830436327","10.0.2.15","194.242.2.2","TCP","54","39448  >  443 [ACK] Seq=4374 Ack=11676 Win=62780 Len=0"
"226","1.831541018","10.0.2.15","89.187.167.42","TCP","74","54198  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2494214492 TSecr=0 WS=128"
"227","1.835425945","104.26.14.96","10.0.2.15","QUIC","1242","Initial, DCID=59d2a4, SCID=0177027f90acc08bef74887ffeaccd3c392d818c, PKN: 0, ACK"
"228","1.838367724","104.26.14.96","10.0.2.15","QUIC","1242","Initial, DCID=59d2a4, SCID=0177027f90acc08bef74887ffeaccd3c392d818c, PKN: 1, CRYPTO"
"229","1.838367913","104.26.14.96","10.0.2.15","QUIC","1242","Handshake, DCID=59d2a4, SCID=0177027f90acc08bef74887ffeaccd3c392d818c"
"230","1.838368073","104.26.14.96","10.0.2.15","QUIC","1242","Handshake, DCID=59d2a4, SCID=0177027f90acc08bef74887ffeaccd3c392d818c"
"231","1.838368113","104.26.14.96","10.0.2.15","QUIC","917","Handshake, DCID=59d2a4, SCID=0177027f90acc08bef74887ffeaccd3c392d818c"
"232","1.840270622","10.0.2.15","104.26.14.96","QUIC","97","Handshake, DCID=0177027f90acc08bef74887ffeaccd3c392d818c, SCID=59d2a4"
"233","1.844052330","10.0.2.15","104.26.14.96","QUIC","191","Protected Payload (KP0), DCID=0177027f90acc08bef74887ffeaccd3c392d818c"
"234","1.844131619","10.0.2.15","104.26.14.96","QUIC","121","Protected Payload (KP0), DCID=0177027f90acc08bef74887ffeaccd3c392d818c"
"235","1.844595089","10.0.2.15","104.26.14.96","QUIC","287","Protected Payload (KP0), DCID=0177027f90acc08bef74887ffeaccd3c392d818c"
"236","1.859308129","89.187.167.42","10.0.2.15","TCP","60","443  >  54198 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
